combination_number,generation,sharpe_ratio
5,69,0.24827657003376857
5,70,0.24830406153803145
5,71,0.24849598568895243
5,72,0.24849598568895243
5,73,0.24849598568895243
5,74,0.24849598568895243
5,75,0.24849598568895243
5,76,0.24851706378082342
5,77,0.2485177112691065
5,78,0.2485177112691065
5,79,0.24854344666071188
5,80,0.24856489957963923
5,81,0.24859129089729512
5,82,0.24861923043289705
5,83,0.24861923043289705
5,84,0.24861923043289705
5,85,0.2486349482702945
5,86,0.2486349482702945
5,87,0.2486349482702945
5,88,0.2486349482702945
5,89,0.2486349482702945
5,90,0.2486349482702945
5,91,0.2486349482702945
5,92,0.24864708265098287
5,93,0.24864708265098287
5,94,0.24864708265098287
5,95,0.24864708265098287
5,96,0.24864708265098287
5,97,0.24864708265098287
5,98,0.24865623694692904
5,99,0.24865739672063253
5,100,0.24865823205239168
6,1,0.1710790867056841
6,2,0.17511367693456334
6,3,0.19660812161369218
6,4,0.19660812161369218
6,5,0.20295577921832436
6,6,0.20295577921832436
6,7,0.20295577921832436
6,8,0.20295577921832436
6,9,0.20295577921832436
6,10,0.20364504707425776
6,11,0.20364504707425776
6,12,0.20738401593031225
6,13,0.2079447112127337
6,14,0.2079447112127337
6,15,0.2079447112127337
6,16,0.21425599602347364
6,17,0.21425599602347364
6,18,0.21425599602347364
6,19,0.22543343570207502
6,20,0.22543343570207502
6,21,0.22543343570207502
6,22,0.22681110439458896
6,23,0.22681110439458896
6,24,0.22681110439458896
6,25,0.22681110439458896
6,26,0.22772017550727364
6,27,0.22772017550727364
6,28,0.22772017550727364
6,29,0.2279235305287621
6,30,0.2279235305287621
6,31,0.23043521315368498
6,32,0.23043521315368498
6,33,0.23043521315368498
6,34,0.23263068411564414
6,35,0.23263068411564414
6,36,0.23381607140239816
6,37,0.23381607140239816
6,38,0.23381607140239816
6,39,0.23381607140239816
6,40,0.23381607140239816
6,41,0.2360327048629934
6,42,0.2360327048629934
6,43,0.2360327048629934
6,44,0.23817573256227467
6,45,0.24180835622287103
6,46,0.24180835622287103
6,47,0.24180835622287103
6,48,0.24180835622287103
6,49,0.24180835622287103
6,50,0.24180835622287103
6,51,0.24180835622287103
6,52,0.24180835622287103
6,53,0.24180835622287103
6,54,0.24180835622287103
6,55,0.24627612339715213
6,56,0.24627612339715213
6,57,0.24627612339715213
6,58,0.24627612339715213
6,59,0.24627612339715213
6,60,0.24627612339715213
6,61,0.24627612339715213
6,62,0.24627612339715213
