combination_number,pop_size,gen_count,initial_mutation_rate,alpha,sharpe_ratio,best_portfolio_weights
49,20,50,0.05,0.1,0.2029827702071436,"[0.0, 0.129663380779799, 0.0, 0.0, 0.00546387861949242, 0.0, 0.0, 0.0, 0.03970222490049333, 0.0, 0.0, 0.016915336119988474, 0.006409012438684149, 0.0, 0.04762165772848435, 0.36396350903949976, 0.0, 0.0466952875559009, 0.10217589429155365, 0.24138981852610397]"
50,20,50,0.05,0.3,0.23011250851315027,"[0.0, 0.048216593477486476, 0.0, 0.0, 0.0, 0.0, 0.005858824346483731, 0.0, 0.12533612378941414, 0.0, 0.04119179533402184, 0.0, 0.0, 0.007336035425041999, 0.7468261253890559, 0.0, 0.0, 0.0, 0.025234502238495868, 0.0]"
51,20,50,0.05,0.5,0.20718058590200444,"[0.0, 0.0, 0.0, 0.0, 0.046109445296278535, 0.0, 0.0, 0.0, 0.04566731152958959, 0.0, 0.017770161094049077, 0.0, 0.0, 0.0, 0.15413911866470437, 0.2352329798858853, 0.0, 0.18086839506306482, 0.0019925337039646486, 0.3182200547624636]"
52,20,50,0.1,0.1,0.23677065611725728,"[0.0, 0.019571386497294826, 0.0, 0.022449228280702036, 0.003237744136267022, 0.0, 0.01429751267471609, 0.0, 0.0, 0.014677685137784795, 0.0037387449668635883, 0.0, 0.007705822033767561, 0.0, 0.8835828316236849, 0.004930158873840318, 0.0, 0.0, 0.0, 0.025808885775078894]"
53,20,50,0.1,0.3,0.21826470631571615,"[0.0, 0.033811558168369955, 0.010534014310278667, 0.010003648420448302, 0.02485723058945423, 0.0, 0.0, 0.0004658927844509958, 0.09592843080310784, 0.0, 0.0, 0.01942514716972927, 0.00375470211084118, 0.014345503757059683, 0.3359920703042201, 0.2691363452853746, 0.0, 0.0, 0.020549785968307786, 0.16119567032835747]"
54,20,50,0.1,0.5,0.226225624628992,"[0.0, 0.0, 0.0, 0.0006763934106005349, 0.004619635463272239, 0.0, 0.02261645802724019, 0.0, 0.03523412241351077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36589880040998934, 0.3190537267464712, 0.008237220122588113, 0.0, 0.0, 0.2436636434063277]"
55,20,50,0.01,0.1,0.2414071470032872,"[0.0, 0.024784775143380518, 0.0, 0.008399366960930486, 0.0, 0.0024987869450409507, 0.016708532931782198, 0.0, 0.025932358834070454, 0.0015779339132414223, 0.0012804630562079694, 0.0, 0.0, 0.0, 0.8219322018730532, 0.0020825320332889864, 0.0023093957990618142, 0.015970562711337257, 0.0013823989661948517, 0.07514069083240985]"
56,20,50,0.01,0.3,0.24292281734573895,"[0.0049582137238396995, 0.023480454172819267, 0.0, 0.002634397075637156, 0.0, 0.0, 0.003945795044346118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006605404307878169, 0.0, 0.7773852930812616, 0.055261019102170544, 0.0, 0.027715254201894537, 0.0, 0.10395903316724316]"
57,20,50,0.01,0.5,0.23220729739644788,"[0.003995128012368052, 0.0, 0.00013192069384300827, 0.0, 0.006659164994384962, 0.0014034102965523694, 0.0, 0.018389673016916377, 0.0, 0.0, 0.006299793056730387, 0.0, 0.020381431865793425, 0.0, 0.7509457460575039, 0.14656380414860945, 0.0, 0.0168999747454904, 0.0, 0.028329953111807644]"
58,20,50,0.05,0.1,0.24222724208581797,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.009620927632344334, 0.008283572399801296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7070869094077727, 0.09870905266287802, 0.0013328076734467882, 0.00781331055080869, 0.0033026471431491454, 0.16385077252979888]"
59,20,50,0.05,0.3,0.23569453494455528,"[0.0, 0.0576657036292646, 0.0020548603014116707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025184002099613887, 0.0, 0.0, 0.713487250402783, 0.009975806678608578, 0.0, 0.0, 0.018705568564242235, 0.17292680832407606]"
60,20,50,0.05,0.5,0.24131878611815322,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.010531831501426083, 0.0018197827092763953, 0.0, 0.0, 0.0, 0.0, 0.00257079110042096, 0.0, 0.0, 0.8887309865431251, 0.0683164974623218, 0.0, 0.0, 0.028030110683429872, 0.0]"
61,20,50,0.1,0.1,0.23948288742273938,"[0.0, 0.015116184862024656, 0.0, 0.0, 0.0, 0.008270570127179473, 0.0, 0.0, 0.0787474943833605, 0.0, 0.002050939757610159, 0.0017551837863701738, 0.0, 0.0048588427620801546, 0.8660916559113769, 0.0, 0.0, 0.00509726358717649, 0.009245621581586592, 0.00876624324123465]"
62,20,50,0.1,0.3,0.20600871004324212,"[0.0, 0.0, 0.0, 0.0, 0.0012968969328535647, 0.0033179080462364965, 0.0, 0.048646110220862154, 0.0, 0.0, 0.0, 0.0, 0.008482621813644748, 0.0, 0.07540466105310749, 0.4103993563618327, 0.0, 0.09640488828683172, 0.01000246846147436, 0.3460450888231567]"
63,20,50,0.1,0.5,0.21251853474976964,"[0.0, 0.0, 0.0, 0.0, 0.004328731629107387, 0.0, 0.011162092995989602, 0.0, 0.0034881793409332093, 0.0, 0.0, 0.0, 0.02391219388652221, 0.0, 0.1518708623189009, 0.5621235555461325, 0.014339233809286873, 0.0, 0.0, 0.22877515047312744]"
64,20,50,0.01,0.1,0.22435299155717728,"[0.006503373914645911, 0.030670805897789484, 0.0009611532840346889, 0.0, 0.0, 0.006050255801641448, 0.0, 0.0, 0.0, 0.0, 0.0003059043802491051, 0.0, 0.0, 0.0, 0.48410535524059617, 0.3788948369117532, 0.009665184408726154, 0.0, 0.0, 0.0828431301605639]"
65,20,50,0.01,0.3,0.2099037064869762,"[0.0, 0.0, 0.0, 0.013479820064776292, 0.0, 0.0, 0.010240302370267346, 0.0, 0.01706094896790255, 0.012241941527210238, 0.0, 0.0, 0.0, 0.0, 0.18124475800528272, 0.5948004896043881, 0.0, 0.0, 0.030219658420173736, 0.14071208103999897]"
66,20,50,0.01,0.5,0.22968204100235076,"[0.0, 0.0, 0.0, 0.0, 0.0017586392710050266, 0.0, 0.0, 0.008412881299201432, 0.09402846491353782, 0.03973579565165921, 0.02326550664322398, 0.017030123975777096, 0.00388840206744999, 0.0, 0.7363657127449853, 0.030024092224956802, 0.0, 0.0, 0.0, 0.045490381208203305]"
67,20,50,0.05,0.1,0.23029455228300033,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015743942696683784, 0.0, 0.0, 0.08179366989550167, 0.01426925932216696, 0.031971930162091766, 0.0, 0.01142083390306291, 0.0, 0.7374298918538779, 0.006533615447040198, 0.0, 0.04526167582163049, 0.017590188215931845, 0.03798499268201259]"
68,20,50,0.05,0.3,0.20879312812213244,"[0.001516076452097004, 0.005462104232691416, 0.0012641478000031462, 0.02761923608284544, 0.0, 0.03137839603229077, 0.0018650656154084238, 0.03032160996355402, 0.0, 0.01790405160008475, 0.0, 0.002442820055783195, 0.03418922313992219, 0.0029818120330849466, 0.5302188324462063, 0.0, 0.0, 0.0, 0.016344089036498678, 0.2964925355095298]"
69,20,50,0.05,0.5,0.2406412668674634,"[0.0, 0.0818026220625375, 0.0, 0.002661508817592996, 0.007014973892576751, 0.0, 0.0, 0.0, 0.013101407987381387, 0.0, 0.0, 0.0, 0.0, 0.0, 0.682852777075686, 0.1244966854124292, 0.0, 0.0, 0.0, 0.0880700247517962]"
70,20,50,0.1,0.1,0.2404319437309788,"[0.0, 0.0, 0.0, 0.020418223332442424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00021411390878811964, 0.0, 0.6523373277471922, 0.11234128655219901, 0.0, 0.009664117322229928, 0.03498351749778955, 0.17004141363935898]"
71,20,50,0.1,0.3,0.21854113869634956,"[0.0, 0.08713912991378571, 0.0, 0.05222488364541602, 0.0, 0.0, 0.0, 0.0, 0.09393419806437751, 0.005295578081399072, 0.030469005553035684, 0.008118409989425236, 0.0, 0.0, 0.3557505945505964, 0.11688699572120996, 0.0, 0.0, 0.038252508700718967, 0.21192869578003554]"
72,20,50,0.1,0.5,0.23491467582658673,"[0.0016054425013638787, 0.0, 0.0, 0.021463924210205983, 0.02210213965479963, 0.01275003019427271, 0.0, 0.003660813485428545, 0.01099914276768627, 0.0, 0.007016808906175935, 0.0, 0.004146235850243825, 0.0, 0.7909167063379927, 0.08108087827350204, 0.007875083821952579, 0.0024283185036798145, 0.0, 0.033954475492696305]"
73,20,50,0.01,0.1,0.2087558096608769,"[0.0, 0.05681419403666961, 0.0, 0.03294209731829494, 0.0, 0.0, 0.03218540974497647, 0.039323498129755725, 0.004773749235313816, 0.013571420683788242, 0.0, 0.0, 0.015932219592740347, 0.0, 0.19636067478097724, 0.3404477991622111, 0.0, 0.007678027793059628, 0.0018810880508047959, 0.2580898214714081]"
74,20,50,0.01,0.3,0.2453249363082847,"[0.0, 0.0032871791186441456, 0.0009083344613865219, 0.0, 0.0, 0.0, 0.0013055137017771495, 0.0, 0.0, 0.0, 0.0, 0.005041340509638893, 0.001856038748021559, 0.0, 0.897938265798159, 0.0, 0.0021304003169438108, 0.016536747623997653, 0.0, 0.07099617972143113]"
75,20,50,0.01,0.5,0.21868709350563031,"[0.004893729188554216, 0.0, 0.0, 0.0, 0.05246000151956929, 0.0, 0.0, 0.0, 0.24833920573055696, 0.017904468654397387, 0.0, 0.0, 0.0, 0.006019690858237213, 0.35144894445777775, 0.2300486066868883, 0.0, 0.0, 0.0025160465663099448, 0.08636930633770883]"
