combination_number,pop_size,gen_count,initial_mutation_rate,alpha,sharpe_ratio,best_portfolio_weights
40,20,200,0.05,1.0,0.17569434566590672,"[0.012331099351004704, 0.16408021767455144, 0.0, 0.0, 0.0, 0.0, 0.0, 0.152543715229941, 0.1342890833412324, 0.0, 0.1156068006124358, 0.0, 0.0, 0.0, 0.07983207003379499, 0.16408021767455144, 0.01315657840793679, 0.0, 0.0, 0.16408021767455144]"
41,20,200,0.1,0.1,0.20059398846107526,"[0.0, 0.22676568517842652, 0.02649725963670736, 0.0, 0.06643999964958656, 0.0, 0.0, 0.0, 0.22676568517842652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22676568517842652, 0.0, 0.0, 0.0, 0.22676568517842652]"
42,20,200,0.1,0.3,0.20228429296559222,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29158983852791576, 0.12523048441625267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29158983852791576, 0.0, 0.0, 0.0, 0.29158983852791576]"
43,20,200,0.1,0.5,0.1887096939785588,"[0.0, 0.233399294383532, 0.0, 0.0, 0.0, 0.06640282246587216, 0.0, 0.0, 0.0, 0.0, 0.233399294383532, 0.0, 0.0, 0.0, 0.233399294383532, 0.0, 0.0, 0.0, 0.0, 0.233399294383532]"
44,20,200,0.1,0.8,0.18129815668989577,"[0.012300311220097912, 0.0, 0.12885042164808252, 0.0, 0.0, 0.0, 0.00935647033198524, 0.0, 0.3827125207171365, 0.0, 0.0, 0.0, 0.0, 0.009458484281111816, 0.13748132030746704, 0.24242936009108704, 0.0, 0.07741111140303211, 0.0, 0.0]"
45,20,200,0.1,1.0,0.20020576512448818,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.25]"
46,50,50,0.01,0.1,0.20149017101676728,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16695111179307362, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27768296273564214, 0.0, 0.0, 0.27768296273564214, 0.0, 0.27768296273564214]"
47,50,50,0.01,0.3,0.1819599879726746,"[0.0, 0.17128258293536974, 0.0, 0.0, 0.17128258293536974, 0.0, 0.0, 0.0, 0.17128258293536974, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17128258293536974, 0.0, 0.012738339272859927, 0.13084874605029148, 0.17128258293536974]"
48,50,50,0.01,0.5,0.17844662677090145,"[0.0, 0.12462948281948898, 0.0, 0.12462948281948898, 0.12462948281948898, 0.0, 0.0, 0.0, 0.12462948281948898, 0.0029641374440881746, 0.0, 0.0, 0.0, 0.0, 0.12462948281948898, 0.12462948281948898, 0.0, 0.0, 0.12462948281948898, 0.12462948281948898]"
49,50,50,0.01,0.8,0.21258236774415373,"[0.0, 0.14400246387444166, 0.0, 0.0, 0.0, 0.0, 0.01828507299059559, 0.0, 0.11733330446074766, 0.035307909935221045, 0.02478281946633465, 0.0, 0.0, 0.0, 0.2787052520638752, 0.10812886650192992, 0.0, 0.0, 0.039639088820939104, 0.23381522188591522]"
50,50,50,0.01,1.0,0.19679448356485416,"[0.0, 0.0, 0.006733879139330465, 0.0, 0.0, 0.0, 0.06881839818480805, 0.016356375694981218, 0.0903854267554124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2967108258390984, 0.2967108258390984, 0.03476433775093476, 0.06092939944956217, 0.06894510159822292, 0.059645429748551394]"
51,50,50,0.05,0.1,0.17829170311038495,"[0.0, 0.0, 0.0, 0.18568473108394104, 0.0, 0.0, 0.07157634458029476, 0.0, 0.18568473108394104, 0.0, 0.18568473108394104, 0.0, 0.0, 0.0, 0.0, 0.18568473108394104, 0.0, 0.0, 0.0, 0.18568473108394104]"
52,50,50,0.05,0.3,0.1909360464718621,"[0.0, 0.1363148222995575, 0.0, 0.045796243903097444, 0.0, 0.0, 0.0, 0.0, 0.1363148222995575, 0.0, 0.1363148222995575, 0.0, 0.0, 0.0, 0.1363148222995575, 0.1363148222995575, 0.0, 0.0, 0.1363148222995575, 0.1363148222995575]"
53,50,50,0.05,0.5,0.17883701009956107,"[0.0, 0.2935872983875661, 0.0, 0.0, 0.0, 0.011820700687747161, 0.0, 0.0, 0.1734453906362602, 0.0, 0.28007712318449557, 0.0, 0.0, 0.0, 0.241069487103931, 0.0, 0.0, 0.0, 0.0, 0.0]"
54,50,50,0.05,0.8,0.18525914582695252,"[0.0, 0.3005440242385547, 0.08135477510646069, 0.0, 0.0, 0.0, 0.07172862930813134, 0.0, 0.0, 0.0, 0.05912026018488251, 0.03629712796998427, 0.0, 0.0, 0.16734582618332927, 0.06332690059487472, 0.0, 0.0, 0.0, 0.22028245641378255]"
55,50,50,0.05,1.0,0.19920653037100994,"[0.0, 0.11585036701325649, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2822979773343238, 0.0, 0.0, 0.0, 0.12583764209513784, 0.1526947010144919, 0.0, 0.0, 0.041021335208466146, 0.2822979773343238]"
56,50,50,0.1,0.1,0.18571140734169816,"[0.0, 0.214424555053296, 0.0, 0.0, 0.214424555053296, 0.0, 0.0, 0.0037622738683811834, 0.1350675902900328, 0.003471915628401984, 0.0, 0.0, 0.0, 0.0, 0.214424555053296, 0.214424555053296, 0.0, 0.0, 0.0, 0.0]"
57,50,50,0.1,0.3,0.18495461881405412,"[0.0, 0.19545296002434806, 0.0, 0.0, 0.04842746010869288, 0.0, 0.0, 0.03746894440318183, 0.20344413332439223, 0.07339540262407977, 0.03834944347495911, 0.0, 0.0, 0.01753650764203043, 0.20344413332439223, 0.0, 0.0, 0.015764704030877465, 0.0, 0.16671631104304607]"
58,50,50,0.1,0.5,0.191711001037697,"[0.0, 0.07724453872974622, 0.0, 0.12898237754258737, 0.05926528564310875, 0.0, 0.018828317343146116, 0.0, 0.0, 0.10445248658589419, 0.0, 0.0, 0.0, 0.0, 0.1947414959165462, 0.1947414959165462, 0.0, 0.02700250640587875, 0.0, 0.1947414959165462]"
59,50,50,0.1,0.8,0.2250358005421957,"[0.04571919985362944, 0.0363216064265091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9179591937198615, 0.0, 0.0, 0.0, 0.0, 0.0]"
60,50,50,0.1,1.0,0.2268768129203268,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.064179923141997, 0.0, 0.8646501748673063, 0.0, 0.0, 0.0, 0.0, 0.07116990199069657]"
61,50,100,0.01,0.1,0.19465873243058998,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0, 0.0, 0.2]"
62,50,100,0.01,0.3,0.18739589017512734,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0, 0.0, 0.2]"
63,50,100,0.01,0.5,0.24377072013211895,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
64,50,100,0.01,0.8,0.19503230646822414,"[0.0, 0.0, 0.1478764251896222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05590085101285864, 0.0, 0.10054465974008377, 0.014162439685001285, 0.029251160654978018, 0.0, 0.0, 0.3261322318587281, 0.0, 0.0, 0.0, 0.3261322318587281]"
65,50,100,0.01,1.0,0.1848735454252307,"[0.0, 0.0, 0.0, 0.19965234348229763, 0.0, 0.0, 0.0, 0.0, 0.19965234348229763, 0.0017382825885119634, 0.19965234348229763, 0.0, 0.0, 0.0, 0.19965234348229763, 0.0, 0.0, 0.0, 0.0, 0.19965234348229763]"
66,50,100,0.05,0.1,0.20885730018233542,"[0.0, 0.0, 0.0, 0.05524826648485351, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03211362422802608, 0.0, 0.0, 0.0, 0.41640791699521557, 0.0, 0.0, 0.07982227529668921, 0.0, 0.41640791699521557]"
67,50,100,0.05,0.3,0.19677817241866763,"[0.0, 0.18393560757853178, 0.18393560757853178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18393560757853178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18393560757853178, 0.08032196210734115, 0.0, 0.0, 0.0, 0.18393560757853178]"
68,50,100,0.05,0.5,0.19554102091510872,"[0.0, 0.0, 0.089152768104469, 0.0, 0.0, 0.0, 0.07219193756695728, 0.0, 0.04313740742423109, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41437456782585025, 0.10783104995710989, 0.08966699020705761, 0.0, 0.0, 0.18364527891432483]"
69,50,100,0.05,0.8,0.1957346990005911,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27355948121003343, 0.0, 0.0, 0.0, 0.0, 0.27355948121003343, 0.27355948121003343, 0.0, 0.0, 0.0, 0.17932155636989972]"
70,50,100,0.05,1.0,0.19029375736548604,"[0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0]"
71,50,100,0.1,0.1,0.2226179914019112,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7032574907061618, 0.2422352898054523, 0.0545072194883859, 0.0, 0.0, 0.0]"
72,50,100,0.1,0.3,0.1925859139935635,"[0.0, 0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.0, 0.14285714285714285, 0.0, 0.14285714285714285]"
73,50,100,0.1,0.5,0.1933863148289965,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
74,50,100,0.1,0.8,0.1934720133072754,"[0.0, 0.05806928662349151, 0.0, 0.0, 0.14368004809471444, 0.0, 0.0, 0.0, 0.34691147080133033, 0.0, 0.019597582567150468, 0.0, 0.0, 0.029823846993118984, 0.2987706059082321, 0.05022812565633134, 0.0, 0.0, 0.0, 0.05291903335563095]"
75,50,100,0.1,1.0,0.18777793589693004,"[0.0, 0.20721512645857218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20721512645857218, 0.0, 0.07333010020990889, 0.0, 0.09780939395580243, 0.0, 0.20721512645857218, 0.0, 0.0, 0.0, 0.0, 0.20721512645857218]"
76,50,200,0.01,0.1,0.2064283772756107,"[0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25]"
77,50,200,0.01,0.3,0.19486123822224713,"[0.0, 0.14509286867457924, 0.03948621333488089, 0.0, 0.06760749727359808, 0.0, 0.0, 0.0, 0.12074822365355625, 0.0, 0.015670181908908152, 0.0, 0.0, 0.0, 0.14509286867457924, 0.14509286867457924, 0.0, 0.14509286867457924, 0.031023540456160473, 0.14509286867457924]"
78,50,200,0.01,0.5,0.211175778054727,"[0.0, 0.0, 0.0, 0.0305220852387868, 0.0, 0.0, 0.0, 0.0, 0.4847389573806066, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4847389573806066, 0.0, 0.0, 0.0, 0.0, 0.0]"
79,50,200,0.01,0.8,0.1951905920950987,"[0.0, 0.15056716987065985, 0.0, 0.0, 0.006064870721847154, 0.0, 0.0, 0.0, 0.15056716987065985, 0.0, 0.15056716987065985, 0.0, 0.0, 0.0, 0.15056716987065985, 0.15056716987065985, 0.0, 0.15056716987065985, 0.0, 0.0905321100541937]"
80,50,200,0.01,1.0,0.19543796629339683,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666]"
81,50,200,0.05,0.1,0.2033856820424581,"[0.0, 0.16622680637075493, 0.0, 0.16622680637075493, 0.0, 0.0, 0.0, 0.0, 0.16622680637075493, 0.0, 0.0, 0.0026391617754704623, 0.0, 0.0, 0.16622680637075493, 0.16622680637075493, 0.0, 0.0, 0.0, 0.16622680637075493]"
82,50,200,0.05,0.3,0.1951769835000226,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09229246591171504, 0.13306190059170137, 0.0, 0.0, 0.045422801973241625, 0.0, 0.4402720129794156, 0.20114562714471773, 0.03897522724871518, 0.0, 0.0, 0.04882996415049348]"
83,50,200,0.05,0.5,0.1933863148289965,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
84,50,200,0.05,0.8,0.20357817210058707,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16612833571602054, 0.0, 0.0, 0.0, 0.20846791607099485, 0.20846791607099485, 0.0, 0.20846791607099485, 0.0, 0.20846791607099485]"
85,50,200,0.05,1.0,0.2148418423490818,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
86,50,200,0.1,0.1,0.19065193413036427,"[0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25]"
87,50,200,0.1,0.3,0.20920406704982852,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21382005233481638, 0.0, 0.21382005233481638, 0.0, 0.0, 0.0, 0.14471979066073443, 0.21382005233481638, 0.0, 0.0, 0.0, 0.21382005233481638]"
88,50,200,0.1,0.5,0.2489181509892911,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9325353859351593, 0.0, 0.0, 0.0, 0.0, 0.0674646140648407]"
89,50,200,0.1,0.8,0.19543796629339683,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666]"
